,Company,Product,Size,Currency,Prices
812,St. Dalfour ,Black Raspberry Jam No Sugar Added,284G,SAR,22.95
813,Lusine ,Sandwich Roll,200G,SAR,1.5
814,Alarabi ,Sunflower Oil Spray,200Ml,SAR,17.95
815,Mentos ,White Spearmint Sugar Free Chewing Gum,72 Count,SAR,14.9
816,Mentos ,White Strawberry Sugar Free Chewing Gum,72 Count,SAR,12.95
817,Lusine ,Burger Buns With Sesame Seeds,6 Pieces,SAR,3.15
818,Lusine ,Burger Buns Plain,6 pieces,SAR,3.15
819,KitKat ,Mini Moments Mocha,15% Off 8 Pieces,SAR,11.5
820,Ritter Sport ,Fine Extra Dark Chocolate,100G,SAR,10.8
821,Castania ,Pumpkin Seeds,300G,SAR,13.9
822,Al Orubah Bakery ,Sage Bread,1 count,SAR,5.7
823,Premium Harvest ,Cherries & Berries,180G,SAR,23.9
824,Tamara ,Sukkary Dates Box,1Kg,SAR,19.95
825,Starbucks ,Cappuccino,220Ml,SAR,12.55
826,Pringles ,Spicy Chilli Tortilla Chips,160G,SAR,9.5
827,Arjoon ,Sukkary Dates,800G,SAR,26.75
828,Pringles ,Nacho Cheese Tortilla Chips,160G,SAR,10.25
829,Arjoon ,Mabroom Dates,800G,SAR,34.25
830,Sunbites ,Cinnamon & Honey Mini Crackers,40G,SAR,2.1
831,Goody ,Velor Cream,155G,SAR,3.75
832,Ideal ,Mafrood Bread,260G,SAR,3.15
833,Ideal ,Samoli Bread,350G,SAR,4.2
834,Goody ,Burger Sauce,290 Ml,SAR,9.75
835,Ideal ,Toast Bread With Seeds,360G,SAR,4.2
836,Ideal ,Croissant With cheese,100G,SAR,2.1
837,Ideal ,Rusk,300G,SAR,12.5
838,Ideal ,Toast Sliced Bread,1 count,SAR,7.35
839,Tanour ,Healthy Bran Bread,240G,SAR,5.25
840,Hayat ,Cooking & Frying Oil,1.5L,SAR,9.95
841,Lesieur ,Canola Oil,1.8L,SAR,23.75
842,Kinder ,Bueno Dark Chocolate,43G,SAR,2.75
843,Cadbury ,Dairy Milk Chocolate,4 + 1 Free x 37G,SAR,11.8
844,Freshly ,Pineapple Broken Slices,227G,SAR,3.7
845,Lorenz ,Chipsletten Paprika,100G,SAR,7.25
846,Hintz ,Cocoa Powder,125G,SAR,18.95
847,Coopoliva ,Black Olives Pitted Can,150G,SAR,5.95
848,Batook ,Batook Natural Mastic Gum,40 Pieces,SAR,14.95
849,Coopoliva ,Black Olives Sliced Jar,114G,SAR,4.75
850,Kagi ,Mini Classic Wafer,125G,SAR,17.3
851,Wrigley's ,Extra Strawberry Sugar Free Gums,60 Pieces,SAR,7.95
852,Premium Harvest ,Black Raisins,250G,SAR,18.4
853,Al Mehbaj ,Walnut USA,175G,SAR,14.5
854,Ahmed Tea ,Bags cardamom Tea,100 x 2G,SAR,16.95
855,Twix ,Minis,275G,SAR,16.75
856,Snickers ,Minis,275G,SAR,17.1
857,Caffe Ottavo ,Sublime,52G,SAR,21.5
858,Wrigley's ,Extra Bubblemint Bottle Sugar Free Gums,60 Pieces,SAR,7.95
859,Roots ,Dried Apricot,200G,SAR,8.65
860,Vimto ,Fruit Cordial,710 ml,SAR,13.5
861,Dream Whip ,Whipped Topping Mix,72G,SAR,6.3
862,Fonte ,Cupcake Chocolate,20 X 30G,SAR,10.45
863,FC ,Corn Flour,400G,SAR,8.25
864,Punjabi Al Muhaidib ,White Basmati Rice,10Kg,SAR,74.5
865,Puck ,Cream,6 x 170G,SAR,17.85
866,Rio Mare ,Mare Light Meat Tuna In Olive Oil,80G,SAR,7.9
867,RED ROOSTER ,Hot Sauce,3Z,SAR,2.35
868,RANI ,Apple Drink,1.5L,SAR,6.3
869,Foody's ,Green Soybeans,454G,SAR,19.95
870,SB ,Plain Paratha,450G,SAR,4.5
871,RADWA ,Frozen Chicken Drumsticks,500G,SAR,10.45
872,ROYAL ,Tender Chicken Breast,1000G,SAR,19.95
873,SB ,Medium Pizza Crust 3 Pieces,495G,SAR,11.0
874,Riyadh Food ,Cream Caramel,50G,SAR,1.0
875,Saudia ,Cream,155G,SAR,3.0
876,Shahea ,Pure Corn Oil,1.8L,SAR,10.95
877,Sunbula ,Low Fat Puff Pastry Squares,400G,SAR,6.95
878,Sunbula ,Kounafa Dough,500G,SAR,5.95
879,Sunbula ,Okra Zero,400G,SAR,9.25
