,Company,Product,Size,Currency,Prices
1115,Geisha ,Geisha Light Meat Tuna in Sunflower Oil & Salt Added,100G,SAR,4.65
1116,California Garden ,Red Kidney Beans,440G,SAR,5.5
1117,Ritter Sport ,Mini Chocolate Mix,150G,SAR,17.85
1118,Goody ,Lite Meat Tuna In Brine Water,185G,SAR,7.5
1119,Coopoliva ,Olive Oil Refined Olive Pomace Oil Blended with Extra Virgin Olive Oil,500 Ml,SAR,14.8
1120,Frito Lay ,Jalapeño Cheddar Cheese Dip,9Z,SAR,13.95
1121,Americana ,Pommes Frites Pre-Fried French Fries,2.5Kg,SAR,17.5
1122,Maxwell House ,100% Colombian Coffee Medium,10.5Z,SAR,34.95
1123,Frito Lay ,Tortilla Yellow Corn Bread,10Z,SAR,19.95
1124,Lotus ,Caramelized Biscuits,250G,SAR,11.95
1125,Pepperidge Farm ,Goldfish Baby Cheddar Crackers,7.2Z,SAR,22.95
1126,Pepperidge Farm ,Goldfish Parmesan cheese Crackers,6.6Z,SAR,19.95
1127,Pepperidge Farm ,Goldfish Colors,187G,SAR,19.95
1128,Betty Crocker ,Double Chocolate Cookie Mix,496G,SAR,13.75
1129,Cadbury ,Milk chocolate Minis,192G,SAR,10.75
1130,Tamimi Markets ,Black Pepper Powder,240G,SAR,10.95
1131,Kellogg's ,Corn Flakes,510G,SAR,34.95
1132,Post ,Honey Bunches Of Oats Honey Roasted,411G,SAR,28.95
1133,Frito Lay ,Baked Scoops,7Z,SAR,19.95
1134,General Mills ,Cheerios Apple Cinnamon,12.9Z,SAR,31.95
1135,Bugles ,Crispy Corn Snacks Ketchup,125G,SAR,6.5
1136,Bugles ,Crispy Corn Snacks Smokin' BBQ,125G,SAR,6.5
1137,Bugles ,Crispy Corn Snacks Nacho cheese,125G,SAR,6.5
1138,Bugles ,Crispy Corn Snacks Chili,125G,SAR,6.5
1139,Betty Crocker ,Chocolate Chunk Brownie,496G,SAR,13.75
1140,Kasih ,Golden Tahini,450G,SAR,16.75
1141,Fonte ,Hot Dog Bread,6 Pieces 360G,SAR,4.95
1142,Betty Crocker ,Dark Chocolate Brownie,496G,SAR,13.75
1143,Nestlé ,Wonka Gobstopper,5Z,SAR,8.95
1144,Frito Lay ,Cooked BBQ Flavored Potato Chips,6.5Z,SAR,19.95
1145,Hershey's ,Special Dark Xl,4.25Z,SAR,11.95
1146,Frito Lay ,Doritos Cool Ranch Flavored Tortilla Chips,3.25Z,SAR,6.95
1147,Breakfast blend ,Coffe blend,11Z,SAR,34.95
1148,Sanck Factory ,Pretzel Crisps,7.2Z,SAR,21.95
1149,Goody ,Arrabbiata Pasta Sauce,420G,SAR,7.5
1150,Goody ,Marinara Pasta Sauce,420G,SAR,7.5
1151,Skittles ,Coated Chewy Fruits,174G,SAR,10.25
1152,Rio Mare ,Light Meat Tuna In Olive Oil,3 + 1 Free 80G,SAR,18.5
1153,Goody ,Napoletana Pasta Sauce,420G,SAR,7.5
1154,Betty Crocker ,Creme Caramel Mix,10 + 2 Free x 49G,SAR,21.0
1155,Cadbury ,Dairy Milk Bubbly Minis,204G,SAR,10.75
1156,Skittles ,Crazy Sours,174G,SAR,10.25
1157,Bugles ,Bugles Crispy Corn Snacks Nacho cheese,35G,SAR,2.25
1158,Bugles ,Crispy Corn Snacks  Sour Cream & Onion,125G,SAR,6.5
1159,Oreo ,Cookie Covered With Cadbury Chocolate,204G,SAR,8.75
1160,Galaxy ,Jewels Revolution,650G,SAR,42.5
1161,Almarai ,Long Life Full Fat Milk,12 x 1L,SAR,40.0
1162,Almarai ,Long Life Low Fat Milk,12 × 1L,SAR,40.0
1163,KDD ,Chocolate Milk,180 Ml,SAR,1.45
1164,Florida's Natural ,Premium Ruby Red Grapefruit Juice,1.8L,SAR,19.95
1165,Florida's Natural ,Natural Orange Pineapple Juice,1.8L,SAR,19.95
1166,Almarai ,Mixed Apple Juice,200 Ml,SAR,1.05
1167,Florida's Natural ,Pure Orange Mango Juice,1.8L,SAR,19.95
1168,KitKat ,Chunky Milk Chocolate Bar,40G,SAR,2.75
1169,Oreo ,Mini,67G,SAR,5.5
1170,Tamimi Markets ,BBQ spices,90G,SAR,4.95
1171,Tamimi Markets ,Bahrain Curry spice,90G,SAR,4.95
1172,Tamimi Markets ,Almond sliced,200G,SAR,17.95
1173,Tamimi Markets ,Beans black eye,500G,SAR,5.95
1174,Tamimi Markets ,Bay leaves,20G,SAR,1.95
1175,Tamimi Markets ,Biriyani spices,90G,SAR,4.95
1176,Tamimi Markets ,Beans broad egypt,1KG,SAR,10.95
1177,Tamimi Markets ,Red Beans,500G,SAR,7.95
1178,Tamimi Markets ,Black chia seeds,500G,SAR,15.95
1179,Tamimi Markets ,Bottled drinking water,200ML,SAR,0.3
1180,Tamimi Markets ,Bottled drinking water,600ML,SAR,0.6
1181,Tamimi Markets ,Black quinoa,500G,SAR,13.95
1182,Tamimi Markets ,Black pepper powder,100G,SAR,7.95
1183,Tamimi Markets ,Black pepper seed,260G,SAR,10.95
1184,Tamimi Markets ,Bottled drinking water,40 X 330ML,SAR,7.5
1185,Tamimi Markets ,Black lemon powder,80G,SAR,4.95
1186,Tamimi Markets ,Chicken spices,240G,SAR,9.95
1187,Tamimi Markets ,Cashew nuts,200G,SAR,15.95
1188,Tamimi Markets ,Broad bean crushed,500G,SAR,3.95
1189,Tamimi Markets ,Chick peas,1KG,SAR,8.95
1190,Tamimi Markets ,Cardamom powder,90G,SAR,21.95
1191,Tamimi Markets ,Chili powder,240G,SAR,7.95
1192,Tamimi Markets ,Cinnamon sticks,150G,SAR,7.95
1193,Tamimi Markets ,Couscous,500G,SAR,6.95
1194,Tamimi Markets ,Coriander powder,200G,SAR,4.95
1195,Tamimi Markets ,Coriander seed,150G,SAR,4.95
1196,Tamimi Markets ,Coconut flakes,500G,SAR,9.95
1197,Tamimi Markets ,Crushed white mongo,500G,SAR,6.95
1198,Tamimi Markets ,Crushed chick peas,1KG,SAR,7.95
1199,Tamimi Markets ,Cumin powder,100G,SAR,4.95
1200,Tamimi Markets ,Tamimi Markets crush burgul soft,1KG,SAR,6.95
1201,Tamimi Markets ,Tamimi Markets crush burgel rough,1KG,SAR,6.95
1202,Tamimi Markets ,Fish spices,90G,SAR,4.95
1203,Tamimi Markets ,Fennel seed,200G,SAR,4.95
1204,Tamimi Markets ,Cumin seed,200G,SAR,4.95
1205,Tamimi Markets ,Curry powder,90G,SAR,4.95
1206,Tamimi Markets ,Fareeka,500G,SAR,5.95
1207,Tamimi Markets ,Garlic powder,95G,SAR,4.95
1208,Tamimi Markets ,Flax seeds,500G,SAR,12.95
1209,Tamimi Markets ,Green mongo,500G,SAR,7.95
1210,Tamimi Markets ,Green cardamon,200G,SAR,27.95
1211,Tamimi Markets ,Harees,1KG,SAR,6.95
1212,Tamimi Markets ,Green lentils,1KG,SAR,9.95
1213,Tamimi Markets ,Meat spices,90G,SAR,4.95
1214,Tamimi Markets ,Lemon salt,410G,SAR,9.95
1215,Tamimi Markets ,Kabsa spices,90G,SAR,4.95
1216,Tamimi Markets ,Jordani zatar,500G,SAR,11.95
1217,Tamimi Markets ,Lemon salt,200G,SAR,5.95
1218,Tamimi Markets ,Lemon powder,240G,SAR,9.95
1219,Tamimi Markets ,Jereesh,1KG,SAR,6.95
